node,year,availability_import
RO,2041,0.2022234339617908
RO,2042,0.2022234339617908
RO,2043,0.2022234339617908
RO,2044,0.2022234339617908
RO,2045,0.2022234339617908
RO,2046,0.2022234339617908
RO,2047,0.2022234339617908
RO,2048,0.2022234339617908
RO,2049,0.2022234339617908
RO,2050,0.2022234339617908
SK,2022,0.001173330599149
SK,2023,0.0011683857983097
SK,2024,0.0011634409974704
SK,2025,0.0011584961966311
SK,2026,0.0011573659564393
SK,2027,0.0011562357162475
SK,2028,0.0011551054760556
SK,2029,0.0011539752358638
SK,2030,0.001152844995672
SK,2031,0.001152844995672
SK,2032,0.001152844995672
SK,2033,0.001152844995672
SK,2034,0.001152844995672
SK,2035,0.001152844995672
SK,2036,0.0011539752358638
SK,2037,0.0011551054760556
SK,2038,0.0011562357162475
SK,2039,0.0011573659564393
SK,2040,0.0011584961966311
SK,2041,0.0011584961966311
SK,2042,0.0011584961966311
SK,2043,0.0011584961966311
SK,2044,0.0011584961966311
SK,2045,0.0011584961966311
SK,2046,0.0011584961966311
SK,2047,0.0011584961966311
SK,2048,0.0011584961966311
SK,2049,0.0011584961966311
SK,2050,0.0011584961966311
