node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
LT,1.0,1.0124155252116704,1.0248310504233409,1.0372465756350115,1.049662100846682,1.0620776260583524,1.0744931512700229,1.086908676481693,1.099324201693364,1.109329664048105,1.1193351264028462,1.1293405887575874,1.1393460511123283,1.149351513467069,1.1593569758218103,1.1693624381765515,1.1793679005312927,1.189373362886034,1.1993788252407749,1.2093844183769236,1.219390011513072,1.2293956046492207,1.2394011977853692,1.249406790921518,1.2594123840576668,1.2694179771938152,1.279423570329964,1.2894291634661124,1.299434756602261
LU,1.0,1.0000011038363332,1.0000022076726665,1.0000033115089997,1.000004415345333,1.000005519181666,1.0000066230179994,1.0000077268543326,1.0000088306906658,1.000009842540638,1.0000108543906103,1.0000118662405824,1.0000128780905546,1.0000138899405266,1.000014901790499,1.000015913640471,1.000016925490443,1.0000179373404152,1.0000189491903877,1.0000202107176253,1.0000214722448633,1.0000227337721013,1.0000239952993393,1.0000252568265773,1.0000265183538153,1.000027779881053,1.0000290414082913,1.000030302935529,1.000031564462767
LV,1.0,1.0072245426549185,1.014449085309837,1.0216736279647554,1.0288981706196736,1.036122713274592,1.0433472559295105,1.0505717985844287,1.0577963412393474,1.061374435312629,1.064952529385911,1.0685306234591927,1.0721087175324744,1.075686811605756,1.079264905679038,1.0828429997523197,1.0864210938256014,1.0899991878988835,1.0935772819721652,1.0971557490577708,1.1007342161433764,1.104312683228982,1.1078911503145878,1.1114696174001937,1.115048084485799,1.118626551571405,1.1222050186570105,1.125783485742616,1.1293619528282215
NL,1.0,1.0004621124224,1.0009242248447998,1.0013863372671998,1.0018484496895996,1.0023105621119994,1.0027726745343994,1.0032347869567992,1.0036968993791993,1.003817018599605,1.0039371378200106,1.0040572570404165,1.0041773762608222,1.0042974954812278,1.0044176147016337,1.0045377339220394,1.0046578531424448,1.0047779723628507,1.0048980915832564,1.005051418916038,1.0052047462488196,1.0053580735816012,1.0055114009143828,1.005664728247165,1.005818055579946,1.0059713829127277,1.006124710245509,1.0062780375782912,1.0064313649110723
NO,1.0,0.9962188203782564,0.9924376407565126,0.988656461134769,0.9848752815130256,0.9810941018912818,0.977312922269538,0.9735317426477946,0.9697505630260508,0.9753588569342364,0.9809671508424218,0.9865754447506072,0.9921837386587928,0.9977920325669782,1.0034003264751636,1.009008620383349,1.0146169142915344,1.02022520819972,1.0258335021079057,1.033645229483082,1.0414569568582583,1.049268684233435,1.057080411608611,1.0648921389837875,1.072703866358964,1.0805155937341402,1.0883273211093167,1.096139048484493,1.1039507758596694
PL,1.0,1.0109788920398524,1.0219577840797045,1.0329366761195566,1.043915568159409,1.0548944601992611,1.0658733522391135,1.076852244278966,1.087831136318818,1.0993398414560434,1.1108485465932685,1.1223572517304936,1.1338659568677187,1.145374662004944,1.156883367142169,1.1683920722793943,1.1799007774166197,1.1914094825538446,1.2029181876910695,1.2144595458427982,1.226000903994527,1.2375422621462555,1.2490836202979845,1.2606249784497128,1.2721663366014413,1.2837076947531698,1.2952490529048986,1.306790411056627,1.3183317692083558
PT,1.0,1.0032378429247193,1.0064756858494384,1.0097135287741577,1.0129513716988767,1.016189214623596,1.019427057548315,1.0226649004730344,1.0259027433977534,1.029820960612423,1.033739177827092,1.0376573950417611,1.0415756122564304,1.0454938294710996,1.0494120466857688,1.053330263900438,1.0572484811151073,1.0611666983297765,1.0650849155444455,1.0691321378661265,1.0731793601878077,1.0772265825094884,1.0812738048311694,1.0853210271528502,1.0893682494745311,1.093415471796212,1.097462694117893,1.101509916439574,1.105557138761255
RO,1.0,1.0037676583208657,1.0075353166417311,1.0113029749625966,1.015070633283462,1.0188382916043277,1.0226059499251932,1.0263736082460586,1.030141266566924,1.0246579194752452,1.019174572383566,1.0136912252918873,1.0082078782002082,1.002724531108529,0.9972411840168504,0.9917578369251712,0.9862744898334924,0.9807911427418132,0.9753077956501344,0.9698273473430812,0.964346899036028,0.9588664507289748,0.9533860024219216,0.9479055541148684,0.9424251058078152,0.936944657500762,0.9314642091937088,0.9259837608866556,0.9205033125796024
SE,1.0,1.0005593449062575,1.0011186898125153,1.001678034718773,1.0022373796250308,1.0027967245312883,1.0033560694375458,1.0039154143438036,1.0044747592500614,1.0082602894018429,1.0120458195536246,1.015831349705406,1.0196168798571874,1.0234024100089691,1.0271879401607509,1.0309734703125322,1.0347590004643137,1.0385445306160952,1.0423300607678767,1.0466832829570625,1.0510365051462485,1.0553897273354342,1.05974294952462,1.0640961717138058,1.0684493939029918,1.0728026160921775,1.0771558382813633,1.081509060470549,1.0858622826597348
SI,1.0,1.0019046947933914,1.0038093895867828,1.0057140843801742,1.0076187791735656,1.0095234739669572,1.0114281687603486,1.01333286355374,1.0152375583471314,1.0144492648160215,1.013660971284912,1.0128726777538022,1.0120843842226923,1.0112960906915829,1.0105077971604732,1.0097195036293636,1.0089312100982537,1.008142916567144,1.0073546230360344,1.0067047964074765,1.0060549697789185,1.0054051431503606,1.0047553165218024,1.0041054898932444,1.0034556632646865,1.0028058366361283,1.0021560100075706,1.0015061833790126,1.0008563567504545
SK,1.0,0.9982841024172974,0.9965682048345949,0.9948523072518924,0.9931364096691896,0.9914205120864872,0.9897046145037846,0.987988716921082,0.9862728193383794,0.9826263805454402,0.9789799417525008,0.9753335029595616,0.9716870641666222,0.968040625373683,0.9643941865807436,0.9607477477878044,0.9571013089948652,0.9534548702019257,0.9498084314089864,0.946162301794741,0.9425161721804958,0.9388700425662504,0.9352239129520048,0.9315777833377596,0.927931653723514,0.9242855241092688,0.9206393944950232,0.916993264880778,0.9133471352665324
UK,1.0,1.0010788370843269,1.002157674168653,1.0032365112529795,1.0043153483373066,1.005394185421633,1.0064730225059595,1.007551859590286,1.0086306966746128,1.0096136642931044,1.0105966319115958,1.0115795995300871,1.0125625671485785,1.01354553476707,1.0145285023855612,1.0155114700040526,1.016494437622544,1.0174774052410354,1.018460372859527,1.0194502970976047,1.020440221335683,1.0214301455737609,1.0224200698118386,1.0234099940499164,1.0243999182879944,1.0253898425260723,1.0263797667641503,1.0273696910022283,1.028359615240306
